file,url,status,chars_body
2025-01-24-moniepoint-series-c-visa.md,https://itweb.africa/article/moniepoint-secures-fresh-series-c-funding-from-visa/mYZRXM9g4oVvOgA8,filled,1984
2025-01-24-visa-moniepoint-financial-inclusion.md,https://techafricanews.com/2025/01/24/visa-invests-in-moniepoint-to-boost-financial-inclusion-across-africa,filled,4652
2025-01-25-waec-neco-nin-on-certificates.md,https://www.thisdaylive.com/2025/01/25/waec-neco-ordered-to-inscribe-nin-date-of-birth-photograph-on-certificates,filled,3507
2025-01-27-eutelsat-nigcomsat-leo-connectivity.md,https://techafricanews.com/2025/01/27/eutelsat-and-nigcomsat-partner-to-boost-leo-satellite-connectivity-in-nigeria,filled,2198
2025-01-27-multiuse-biometric-id-card-launch.md,https://www.biometricupdate.com/202501/nigeria-launching-multiuse-biometric-id-card-to-drive-economic-financial-inclusion,filled,4703
2025-01-27-nimc-nibss-afrigo-multipurpose-cards.md,https://www.thisdaylive.com/2025/01/27/nimc-nibss-afrigo-to-roll-out-multi-purpose-digital-cards-to-boost-nigerias-gdp,filled,4964
2025-01-28-cbn-nibss-debit-banks-fraud.md,https://techcabal.com/2025/01/28/cbn-nibss-fraud,filled,3059
2025-01-29-gsma-welcomes-tariff-adjustment.md,https://techafricanews.com/2025/01/29/gsma-welcomes-nigerias-tariff-adjustment-calls-for-further-policy-reforms,filled,4514
2025-01-29-nimet-mtn-digital-climate-advisory.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nigeria-nimet-mtn-and-tomorrow-io-launch-digital-climate-advisory-services-to-boost-agriculture,filled,2255
2025-01-29-telcos-lost-11-billion-tariff-delay.md,https://techcabal.com/2025/01/29/nigeria-telcos-lost-11-3-billion,filled,3875
2025-01-29-national-single-window-2025.md,https://www.vanguardngr.com/2025/01/fg-set-to-implement-national-single-window-project-in-2025,fetch-failed(timeout/403 across 4 mop-up attempts),0
2025-01-30-payments-trends-2025-nigeria.md,https://techcabal.com/2025/01/30/from-ai-to-contactless-top-trends-shaping-2025-payments-in-nigeria,filled,7148
2025-01-31-fintechs-revamp-regulators-ease.md,https://techcabal.com/2025/01/31/nigerian-fintechs-revamp,filled,3989
2025-02-03-ai-tool-public-service-efficiency.md,https://www.wearetech.africa/en/fils-uk/news/public-management/nigeria-launches-ai-powered-tool-to-revolutionize-public-service-efficiency,filled,1776
2025-02-03-mtn-nimet-climate-advisory-farmers.md,https://techafricanews.com/2025/02/03/mtn-partners-with-nimet-tomorrow-io-to-launch-digital-climate-advisory-for-farmers,filled,1019
2025-02-04-kaduna-land-administration-software.md,https://www.thisdaylive.com/2025/02/04/kaduna-unveils-software-to-improve-land-administration,filled,2125
2025-02-04-ncc-national-broadband-alliance-launch.md,https://techcabal.com/2025/02/04/nigeria-internet-penetration,filled,3861
2025-02-04-nedi-education-data-initiative.md,https://techcabal.com/2025/02/04/nigeria-launches-ambitious-education-data-initiativenedi-appoints-bode-pedro-as-digital-advisor,filled,3192
2025-02-05-ai-connectivity-government-initiatives.md,https://techafricanews.com/2025/02/05/nigeria-advances-ai-and-connectivity-with-two-major-government-initiatives,filled,1773
2025-02-05-digital-economy-ambitions-fec-backing.md,https://itweb.africa/article/nigerias-digital-economy-ambitions-get-government-backing/G98YdqLGgVNMX2PD,filled,2074
2025-02-04-fg-national-broadband-alliance.md,https://www.vanguardngr.com/2025/02/fg-launches-national-broadband-alliance-to-accelerate-digital-transformation,filled,2726
