deal_id,file,published,date_source,topics,crosswalk_conf,enrich,warnings
eximbank-cn-moz-003,_leads/eximbank-cn-moz-003-china-eximbank-provides-132-million-concessional.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-nga-002,_leads/eximbank-cn-nga-002-china-eximbank-provides-rmb-23-billion.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-nga-001,_leads/eximbank-cn-nga-001-china-eximbank-and-credit-suisse-ag.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
china-mofcom-sen-001,_leads/china-mofcom-sen-001-chinese-government-provides-rmb-200-million.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
eximbank-cn-uga-001,_leads/eximbank-cn-uga-001-china-eximbank-provides-rmb-969-million.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
icbc-zaf-007,_leads/icbc-zaf-007-icbc-contributes-to-zar-2251-billion.md,,,,,skipped,PROVENANCE: dropbox.com not primary -> filed as LEAD
wb-ago-002,2022-03-25-wb-ago-002-angola-strengthening-statistical-capacity.md,2022-03-25,source,gov.policy|finance.new,med,wb-api ok,published raised to day precision from enriched board-approval date
wb-ago-001,2024-06-27-wb-ago-001-angola-digital-acceleration-project.md,2024-06-27,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
press-chn-ago-2023-001,2023-01-01-press-chn-ago-2023-001-national-broadband-infrastructure-upgrading-project.md,2023-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-ago-001,2021-01-01-eximbank-cn-ago-001-public-security-project-phase-2.md,2021-01-01,source,tech.industry|finance.new,med,not attempted,
eximbank-cn-ago-003,2023-01-01-eximbank-cn-ago-003-national-broadband-infrastructure-upgrading-project-rnbl.md,2023-01-01,source,infra.connect|finance.mou,high,not attempted,
jbic-ago-sacs-submarine-cable-2016,2016-01-01-jbic-ago-sacs-submarine-cable-2016-export-credit-line-for-banco-de.md,2016-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-ago-002,2021-01-01-eximbank-cn-ago-002-china-eximbank-provides-797-million-loan.md,2021-01-01,source,tech.industry|finance.new,med,not attempted,
wb-bdi-003,2021-12-14-wb-bdi-003-burundi-cash-for-jobs-project-digital.md,2021-12-14,source,dpi.pay|finance.new|dpi.id,high,wb-api ok,published raised to day precision from enriched board-approval date; recip_org blank in source -> single entity tag; recipient unspecified
wb-bdi-002,2022-06-22-wb-bdi-002-burundi-digital-foundations-project.md,2022-06-22,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
wb-bdi-001,2024-01-10-wb-bdi-001-additional-financing-to-the-burundi-digital.md,2024-01-10,source,dpi.govtech|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date
mcc-ben-dispatch-2015,2015-01-01-mcc-ben-dispatch-2015-benin-power-compact-national-electricity-dispatch.md,2015-01-01,source,tech.industry|finance.new,med,not attempted,
enabel-ben-digiboost-2019,2019-01-01-enabel-ben-digiboost-2019-digiboost-benin-appui-au-secteur-du.md,2019-01-01,source,tech.industry|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
undp-ben-timbuktoo-uac-2022,2022-01-01-undp-ben-timbuktoo-uac-2022-timbuktoo---uac-innovation-lab-operationalisation.md,2022-01-01,source,tech.industry|finance.new,high,d-portal ok,
eximbank-cn-ben-002,2022-01-01-eximbank-cn-ben-002-broadband-network-densification-project-pdi2t-phase.md,2022-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-ben-001,2015-01-01-eximbank-cn-ben-001-china-eximbank-provides-rmb-496-million.md,2015-01-01,source,infra.connect|finance.new,high,not attempted,
press-chn-ben-2021-001,2021-01-01-press-chn-ben-2021-001-national-broadband-network-densification-project-phase.md,2021-01-01,source,infra.connect|finance.new,high,not attempted,
bmz-ben-002,2022-01-01-bmz-ben-002-support-for-small-and-medium-sized-enterprises.md,2022-01-01,source,tech.industry|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
bmz-ben-001,2022-01-01-bmz-ben-001-beninnovation---starkung-der-digitalen-transformation.md,2022-01-01,source,gov.policy|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
wb-ben-001,2019-07-01-wb-ben-001-digital-rural-transformation-project.md,2019-07-01,source,dpi.mis|finance.new,med,wb-api ok,published raised to day precision from enriched board-approval date
wb-ben-002,2023-03-24-wb-ben-002-benin-social-safety-nets-program-digital.md,2023-03-24,source,dpi.pay|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date; recip_org blank in source -> single entity tag; recipient unspecified
enabel-bfa-d4gw-2021,2021-01-01-enabel-bfa-d4gw-2021-digital-for-girls-and-women-burkina.md,2021-01-01,source,include.divides|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
undp-bfa-inclusive-digital-2021,2021-01-01-undp-bfa-inclusive-digital-2021-transformation-digitale-inclusive-pour-accelerer-les.md,2021-01-01,source,capacity.training|finance.new,review,d-portal ok,"slug inferred from ""skills""; crosswalk confidence=review"
eximbank-cn-bfa-001,2020-01-01-eximbank-cn-bfa-001-smart-burkina-project.md,2020-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-bfa-002,2020-01-01-eximbank-cn-bfa-002-china-eximbank-provides-rmb-560-million.md,2020-01-01,source,tech.industry|finance.new,med,not attempted,
boc-bfa-001,2019-01-01-boc-bfa-001-bank-of-china-provides-7735-million.md,2019-01-01,source,infra.connect|finance.new,high,not attempted,
wb-bfa-002,2016-02-18-wb-bfa-002-burkina-faso-economic-governance-govtech-and.md,2016-02-18,source,dpi.govtech|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date
wb-bfa-003,2019-04-30-wb-bfa-003-burkina-faso-financial-inclusion-support-project.md,2019-04-30,source,dpi.pay|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date; recip_org blank in source -> single entity tag; recipient unspecified
wb-bfa-001,2024-01-23-wb-bfa-001-burkina-faso-digital-acceleration-project.md,2024-01-23,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
ec-bwa-001,2022-01-01-ec-bwa-001-eu-support-to-digital-transformation-in.md,2022-01-01,source,gov.policy|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
china-other-bwa-001,2015-01-01-china-other-bwa-001-chinese-government-donates-video-conferencing-equipment.md,2015-01-01,source,dpi.govtech|finance.new,high,not attempted,
afdb-caf-001,2017-01-01-afdb-caf-001-central-african-republic---central-africa.md,2017-01-01,source,infra.connect|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
wb-caf-001,2022-05-05-wb-caf-001-car--public-sector-digital-governance-project.md,2022-05-05,source,dpi.govtech|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date
boc-civ-005,2018-01-01-boc-civ-005-bank-of-china-provides-cfa-427.md,2018-01-01,source,dpi.govtech|finance.new,high,not attempted,
boc-civ-008,2019-01-01-boc-civ-008-bank-of-china-provides-cfa-7.md,2019-01-01,source,dpi.govtech|finance.new,high,not attempted,
isdb-civ-digital-health-transformation-2022,2022-01-01-isdb-civ-digital-health-transformation-2022-strengthening-digital-transformation-and-health-security.md,2022-01-01,source,tech.innovate|finance.new,review,d-portal ok,crosswalk confidence=review
mcc-civ-emis-2017,2017-01-01-mcc-civ-emis-2017-cote-divoire-compact-education-management-information.md,2017-01-01,source,dpi.mis|finance.new,high,not attempted,
boc-civ-001,2018-01-01-boc-civ-001-bank-of-china-provides-cfa-532.md,2018-01-01,source,tech.innovate|finance.new,review,not attempted,crosswalk confidence=review
boc-civ-002,2018-01-01-boc-civ-002-bank-of-china-provides-cfa-427.md,2018-01-01,source,dpi.govtech|finance.new,high,not attempted,
afdb-civ-001,2023-01-01-afdb-civ-001-cote-divoire---e-government-strengthening-support.md,2023-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
kfw-civ-001,2024-01-01-kfw-civ-001-starkung-zentraler-governance-strukturen-e-governance-strengthening.md,2024-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
ec-civ-001,2022-01-01-ec-civ-001-programme-dappui-au-secteur-prive-pour.md,2022-01-01,source,tech.industry|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
ec-civ-002,2024-01-01-ec-civ-002-digigreen-agri-linnovation-numerique-au-service.md,2024-01-01,source,tech.innovate|finance.new,review,d-portal ok,crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified
wb-civ-001,2018-05-25-wb-civ-001-ci-cote-divoire-e-agriculture-project.md,2018-05-25,source,dpi.mis|finance.new,med,wb-api ok,published raised to day precision from enriched board-approval date
wb-civ-003,2022-01-31-wb-civ-003-cote-divoire-youth-employment-and-skills.md,2022-01-31,source,capacity.training|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date; recip_org blank in source -> single entity tag; recipient unspecified
fourdx-civ-cinetpay-2021,2021-01-01-fourdx-civ-cinetpay-2021-4dx-ventures-seed-equity-investment-in.md,2021-01-01,source,dpi.pay|finance.new,high,not attempted,
proparco-civ-anka-ext-2023,2023-01-01-proparco-civ-anka-ext-2023-anka-pre-series-a-extension-round-e-commerce.md,2023-01-01,source,dpi.pay|finance.new,med,not attempted,"slug inferred from ""payment"""
proparco-civ-anka-2022,2022-01-01-proparco-civ-anka-2022-anka-all-in-one-saas-e-commerce-platform-for.md,2022-01-01,source,dpi.pay|finance.new,med,not attempted,"slug inferred from ""payment"""
bmz-cmr-005,2015-01-01-bmz-cmr-005-information-on-geo-resources-with-a-focus.md,2015-01-01,source,data.satellite|finance.new,med,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
bmz-cmr-002,2023-01-01-bmz-cmr-002-bridging-the-digital-gender-divide.md,2023-01-01,source,include.divides|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
ec-cmr-003,,,,,,dropped,OUT OF SCOPE -> no record built (natural-resource governance CSO contract)
wb-cmr-004,2017-11-20-wb-cmr-004-cameroon-strengthening-public-sector-effectiveness-and.md,2017-11-20,source,gov.policy|finance.new,med,wb-api ok,published raised to day precision from enriched board-approval date
wb-cmr-001,2021-09-28-wb-cmr-001-acceleration-of-the-digital-transformation-of.md,2021-09-28,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
wb-cmr-003,2022-03-09-wb-cmr-003-cameroon-adaptive-safety-nets-and-economic.md,2022-03-09,source,dpi.pay|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date; recip_org blank in source -> single entity tag; recipient unspecified
eximbank-cn-cmr-005,2017-01-01-eximbank-cn-cmr-005-china-eximbank-provides-rmb-216-million.md,2017-01-01,source,dpi.govtech|finance.mou,high,not attempted,
eximbank-cn-cmr-004,2016-01-01-eximbank-cn-cmr-004-china-eximbank-provides-rmb-937500000-government.md,2016-01-01,source,infra.connect|finance.mou,high,not attempted,
eximbank-cn-cmr-002,2015-01-01-eximbank-cn-cmr-002-china-eximbank-provides-3371-million-preferential.md,2015-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-cmr-001,2015-01-01-eximbank-cn-cmr-001-china-eximbank-provides-rmb-513-million.md,2015-01-01,source,infra.connect|finance.mou,high,not attempted,
boc-cmr-002,2018-01-01-boc-cmr-002-bank-of-china-provides-449-billion.md,2018-01-01,source,tech.industry|finance.new,med,not attempted,
boc-cmr-003,2019-01-01-boc-cmr-003-bank-of-china-provides-416-million.md,2019-01-01,source,tech.industry|finance.new,med,not attempted,
eximbank-cn-cmr-006,2026-01-01-eximbank-cn-cmr-006-cameroon-fibre-optic-transmission-backbone-extension.md,2026-01-01,source,infra.connect|finance.new,high,not attempted,
wb-cod-001,2024-06-27-wb-cod-001-drc-digital-transformation-project.md,2024-06-27,source,dpi.id|finance.new,review,wb-api ok,"slug inferred from ""digital id""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
afd-cod-001,2025-01-01-afd-cod-001-drc-digital-transformation-project.md,2025-01-01,source,dpi.id|finance.new,review,d-portal ok,"slug inferred from ""digital id""; crosswalk confidence=review"
gac-cod-birth-reg-drc-2015,2015-01-01-gac-cod-birth-reg-drc-2015-increasing-birth-registration-in-the-democratic.md,2015-01-01,source,dpi.id|finance.new,high,d-portal ok,
finnfund-cod-bcs-2021,2021-01-01-finnfund-cod-bcs-2021-bandwidth-and-cloud-services-group-bcs.md,2021-01-01,source,infra.connect|finance.new,high,not attempted,
eximbank-cn-cod-001,2020-01-01-eximbank-cn-cod-001-modernization-and-digitization-of-finance-ministry.md,2020-01-01,source,dpi.govtech|finance.new,high,not attempted,
pidg-cod-eastcastle-2023,2023-01-01-pidg-cod-eastcastle-2023-eastcastle-drc-telecom-tower-platform.md,2023-01-01,source,infra.connect|finance.new,high,d-portal ok,
eib-cod-002,2018-01-01-eib-cod-002-bandwidth-and-cloud-solutions-bcs-drc.md,2018-01-01,source,infra.connect|finance.new,high,not attempted,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
eib-cod-001,2022-01-01-eib-cod-001-bandwidth-and-cloud-solutions-bcs-drc.md,2022-01-01,source,infra.connect|finance.new,high,d-portal ok,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
miga-cod-airtel-mobile-money-2022,2022-01-01-miga-cod-airtel-mobile-money-2022-airtel-mobile-money-congo-democratic-republic.md,2022-01-01,source,dpi.pay|finance.new,high,not attempted,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
miga-cod-helios-towers-drc-2015,2015-01-01-miga-cod-helios-towers-drc-2015-helios-towers-drc-infraco-sprl-telecom.md,2015-01-01,source,infra.connect|finance.new,high,not attempted,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
afdb-cog-001,2016-01-01-afdb-cog-001-congo---central-africa-backbone-cab.md,2016-01-01,source,infra.connect|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
ec-cog-001,2021-01-01-ec-cog-001-congo-digital---projet-de-blending.md,2021-01-01,source,infra.connect|finance.new,review,d-portal ok,"slug inferred from the source text: ""infrastructures numeriques: renforcer le reseau de transmission""; crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified"
ec-cog-002,2022-01-01-ec-cog-002-convention-de-contribution-bei-ue-pour-laction.md,2022-01-01,source,dpi.govtech|finance.new,review,d-portal ok,"slug inferred from the source text: ""modernisation des systemes d'information de l'administration""; crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified"
wb-cog-001,2022-06-02-wb-cog-001-congo-digital-acceleration-project.md,2022-06-02,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
eib-cog-001,2022-01-01-eib-cog-001-congo-digital-transformation.md,2022-01-01,source,dpi.govtech|finance.new,high,d-portal ok,
miga-cog-airtel-mobile-money-2022,2022-01-01-miga-cog-airtel-mobile-money-2022-airtel-mobile-money-republic-of-congo.md,2022-01-01,source,dpi.pay|finance.new,high,not attempted,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
afdb-com-001,2024-01-01-afdb-com-001-comoros---project-to-support-the.md,2024-01-01,source,gov.policy|finance.new,review,d-portal ok,"slug inferred from the source text: ""project to support the digitization of the Comorian economy""; crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified"
isdb-com-padec-digitalization-2025,2025-01-01-isdb-com-padec-digitalization-2025-project-for-the-digitalization-of-the.md,2025-01-01,source,dpi.govtech|finance.new,high,d-portal ok,
eximbank-cn-com-001,2018-01-01-eximbank-cn-com-001-china-eximbank-provides-rmb-567-million.md,2018-01-01,source,infra.connect|finance.new,high,not attempted,
china-mofcom-cpv-003,2019-01-01-china-mofcom-cpv-003-chinese-government-provides-rmb-925-million.md,2019-01-01,source,tech.industry|finance.new,med,not attempted,
china-mofcom-cpv-002,2017-01-01-china-mofcom-cpv-002-chinese-government-provides-5-million-grant.md,2017-01-01,source,infra.connect|finance.new,high,not attempted,
china-mofcom-cpv-001,2017-01-01-china-mofcom-cpv-001-chinese-government-provides-rmb-13-million.md,2017-01-01,source,dpi.govtech|finance.mou,high,not attempted,
eximbank-cn-cpv-001,2017-01-01-eximbank-cn-cpv-001-china-eximbank-provides-rmb-845-million.md,2017-01-01,source,dpi.govtech|finance.mou,high,not attempted,
eib-cpv-002,2019-01-01-eib-cpv-002-cape-verde-connectivity-programme.md,2019-01-01,source,infra.connect|finance.new,high,d-portal ok,"disbursed reported as 0 on a completed deal -> treated as unknown, not zero"
eib-cpv-001,2024-01-01-eib-cpv-001-cabo-verde-regional-digital-connectivity.md,2024-01-01,source,infra.connect|finance.new,high,d-portal ok,
afdb-cpv-003,2022-01-01-afdb-cpv-003-cabo-verde---technology-park-cvtp.md,2022-01-01,source,tech.industry|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
afdb-cpv-005,2024-01-01-afdb-cpv-005-cabo-verde-morabeza-innovation-project.md,2024-01-01,source,tech.industry|finance.new|dpi.pay,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
afdb-cpv-002,2021-01-01-afdb-cpv-002-cape-verde---e-governance-and-public.md,2021-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
afdb-cpv-004,2022-01-01-afdb-cpv-004-cabo-verde---e-governance-and-public.md,2022-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
afdb-cpv-006,2024-01-01-afdb-cpv-006-cabo-verde---e-governance-and-public.md,2024-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
afdb-cpv-007,2025-01-01-afdb-cpv-007-cabo-verde---e-governance-and-public.md,2025-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
wb-cpv-001,2020-11-12-wb-cpv-001-digital-cabo-verde-project.md,2020-11-12,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""connectivity""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
wb-dji-001,2025-01-01-wb-dji-001-djibouti-economic-and-financial-governance-project.md,2025-01-01,source,dpi.govtech|finance.new,high,wb-api ok,
afd-dji-001,2020-01-01-afd-dji-001-djibouti-digitalisation-and-professionalisation-of-higher.md,2020-01-01,source,tech.innovate|finance.new,review,d-portal ok,crosswalk confidence=review
isdb-dji-submarine-telecom-2015,2015-01-01-isdb-dji-submarine-telecom-2015-regional-submarine-telecommunications-project.md,2015-01-01,source,infra.connect|finance.new,high,d-portal ok,
isdb-dji-dare-submarine-cable-2019,2019-01-01-isdb-dji-dare-submarine-cable-2019-dare-regional-submarine-cable-project.md,2019-01-01,source,infra.connect|finance.new,high,d-portal ok,
china-mofcom-dji-001,2017-01-01-china-mofcom-dji-001-chinese-government-provides-20-million-usd.md,2017-01-01,source,tech.industry|finance.new,med,not attempted,
undp-eri-data-stats-2019,2019-01-01-undp-eri-data-stats-2019-economic-social-data-development-eritrea.md,2019-01-01,source,gov.policy|finance.new,med,d-portal ok,
gates-eth-003,2023-01-01-gates-eth-003-enhancing-the-dfs-information-flow-through.md,2023-01-01,source,dpi.pay|finance.new,med,d-portal ok,
gates-eth-001,2024-01-01-gates-eth-001-national-financial-inclusion-strategy-implementation-support.md,2024-01-01,source,dpi.pay|finance.new,med,d-portal ok,
gates-eth-004,2024-01-01-gates-eth-004-strengthening-the-data-governance-and-sharing.md,2024-01-01,source,gov.policy|finance.new,med,d-portal ok,
afd-eth-001,2024-01-01-afd-eth-001-modernisation-deep-pour-une-digitalisation-plus.md,2024-01-01,source,infra.connect|finance.new,high,d-portal ok,
giz-eth-001,2021-01-01-giz-eth-001-technical-assistance-for-business-environment-and.md,2021-01-01,source,dpi.govtech|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
fcdo-eth-001,2025-01-01-fcdo-eth-001-ethiopia-artificial-intelligence-ethiopiai-programme.md,2025-01-01,source,tech.ai|finance.new,high,d-portal ok,
ifc-eth-003,2024-01-01-ifc-eth-003-safaricom-ethiopia-ifc-second-debt-facility.md,2024-01-01,source,infra.connect|finance.new|dpi.pay,high,d-portal ok,
ec-eth-005,2020-01-01-ec-eth-005-support-to-the-ministry-of-innovation.md,2020-01-01,source,dpi.govtech|finance.new,med,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
ec-eth-009,2021-01-01-ec-eth-009-technical-assistance-to-develop-health-insurance.md,2021-01-01,source,tech.innovate|finance.new,review,d-portal failed: empty response,crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified
ec-eth-008,2023-01-01-ec-eth-008-mobilising-civic-and-digital-action-to.md,2023-01-01,source,include.access|finance.new,review,d-portal ok,crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified
ec-eth-006,2023-01-01-ec-eth-006-supporting-financial-service-providers-fsps-to.md,2023-01-01,source,include.access|finance.new,review,d-portal ok,crosswalk confidence=review; recip_org blank in source -> single entity tag; recipient unspecified
ec-eth-001,2024-01-01-ec-eth-001-support-to-digital-transformation-in-ethiopia.md,2024-01-01,source,capacity.training|finance.new,high,d-portal ok,recip_org blank in source -> single entity tag; recipient unspecified
mcf-eth-youngafricaworks-2021,2021-01-01-mcf-eth-youngafricaworks-2021-young-africa-works-in-ethiopia-2021.md,2021-01-01,source,capacity.training|finance.new,high,not attempted,
mcf-eth-youngafricaworks-2019,2019-01-01-mcf-eth-youngafricaworks-2019-young-africa-works-in-ethiopia-2019.md,2019-01-01,source,tech.industry|finance.new,med,not attempted,
mcf-eth-youngafricaworks-2023,2023-01-01-mcf-eth-youngafricaworks-2023-young-africa-works-in-ethiopia-2023.md,2023-01-01,source,tech.industry|finance.new,med,not attempted,
wb-eth-003,2016-01-01-wb-eth-003-ethiopia-public-financial-management-project.md,2016-01-01,source,dpi.govtech|finance.new,high,wb-api ok,
wb-eth-002,2021-04-21-wb-eth-002-ethiopia-digital-foundations-project.md,2021-04-21,source,infra.connect|finance.new,review,wb-api ok,"slug inferred from ""broadband""; crosswalk confidence=review; published raised to day precision from enriched board-approval date"
wb-eth-001,2023-12-13-wb-eth-001-ethiopia-digital-id-for-inclusion-and.md,2023-12-13,source,dpi.id|finance.new,high,wb-api ok,published raised to day precision from enriched board-approval date
afdb-eth-001,2020-01-01-afdb-eth-001-ethiopia---enhancing-national-switch-of.md,2020-01-01,source,dpi.pay|finance.new,high,d-portal failed: empty response,recip_org blank in source -> single entity tag; recipient unspecified
vodacom-eth-licence-2021,2021-01-01-vodacom-eth-licence-2021-vodacom-ethiopia-telecoms-operating-licence-safaricom-led.md,2021-01-01,source,infra.connect|finance.new|dpi.pay,high,not attempted,
bii-eth-001,2022-01-01-bii-eth-001-safaricom-ethiopia-equity-investments-mobile-telecoms.md,2022-01-01,source,infra.connect|finance.new|dpi.pay,high,d-portal failed: empty response,
ifc-eth-001,2023-01-01-ifc-eth-001-safaricom-ethiopia-ifc-equity-investment-global.md,2023-01-01,source,infra.connect|finance.new|dpi.pay,high,d-portal ok,
ifc-eth-002,2023-01-01-ifc-eth-002-safaricom-ethiopia-ifc-a-loan-gpe-debt.md,2023-01-01,source,infra.connect|finance.new|dpi.pay,high,d-portal ok,
edcf-eth-land-information-system-2019,2019-01-01-edcf-eth-land-information-system-2019-ethiopia-land-information-management-system-lims.md,2019-01-01,source,data.satellite|finance.new,med,not attempted,recip_org blank in source -> single entity tag; recipient unspecified
finnfund-eth-mbirr-2017,2017-01-01-finnfund-eth-mbirr-2017-m-birr-ethiopia-mobile-money.md,2017-01-01,source,dpi.pay|finance.new,high,not attempted,
edcf-eth-tax-customs-system-2022,2022-01-01-edcf-eth-tax-customs-system-2022-ethiopia-national-tax-and-customs-administration.md,2022-01-01,source,dpi.govtech|finance.new,high,not attempted,recip_org blank in source -> single entity tag; recipient unspecified
undp-eth-innov-finance-2022,2022-01-01-undp-eth-innov-finance-2022-inclusive-innovation-finance-development-ethiopia.md,2022-01-01,source,dpi.pay|finance.new,med,d-portal ok,
undp-eth-timbuktoo-2024,2024-01-01-undp-eth-timbuktoo-2024-timbuktoo-ethiopia---pan-african-start-up-and.md,2024-01-01,source,tech.industry|finance.new|dpi.pay,high,d-portal ok,
